id,value
id_0,3.9202919745246096
id_1,5.524188692754455
id_2,7.721905029988398
id_3,8.144880780669393
id_4,2.145795473831108
id_5,4.651053364931702
id_6,10.754388496014084
id_7,3.4460658245255162
id_8,6.514174337052726
id_9,4.027810242905348
id_10,8.383599350035635
id_11,8.391290654100443
id_12,8.506535012062951
id_13,4.067796241085876
id_14,4.383356291840304
id_15,3.8343330454088806
id_16,8.792334673189657
id_17,4.488759960530253
id_18,3.432316619035579
id_19,2.307255004310896
id_20,3.5462073950026656
id_21,6.653319757007004
id_22,10.240798058697209
id_23,6.04590615552145
id_24,11.415486097710552
id_25,4.290990773617081
id_26,8.0991490977617
id_27,4.1220724628384
id_28,8.40926579102746
id_29,3.751825820824344
id_30,3.1323023073142613
id_31,3.1695533342883593
id_32,5.145734771266211
id_33,4.352495641572148
id_34,5.049376697697415
id_35,9.970954203065082
id_36,8.888267773659877
id_37,9.103393213366562
id_38,5.266319806613549
id_39,8.122546935617219
id_40,8.157360958610726
id_41,6.858350540193259
id_42,6.6010455109173485
id_43,6.320515910703522
id_44,7.037706569461576
id_45,8.976710726452858
id_46,7.335100629125289
id_47,6.20573681861697
id_48,4.462467335460519
id_49,6.375047537467214
id_50,5.215982191533722
id_51,5.681762482187788
id_52,8.023362015966919
id_53,4.894500528286995
id_54,9.917667779668246
id_55,7.217798193565114
id_56,7.153489317651043
id_57,3.9445089106003812
id_58,8.365903912811554
id_59,10.62831842810736
id_60,4.207459936032437
id_61,10.10896852073474
id_62,8.67054683788913
id_63,9.016684428602817
id_64,7.347371505169043
id_65,6.130771084891493
id_66,11.056457714125367
id_67,9.040960965531852
id_68,6.867620196072826
id_69,8.826349748628928
id_70,8.317530780387898
id_71,9.688502582845171
id_72,10.049968808687035
id_73,5.850207782814875
id_74,7.007198152260957
id_75,7.051283408437192
id_76,8.316290013558834
id_77,4.040009185291118
id_78,8.548940384074534
id_79,6.332994326061578
id_80,3.580358128462581
id_81,5.805601118680656
id_82,4.165213121679793
id_83,9.007122601186175
id_84,5.207078916097225
id_85,4.418142383401685
id_86,5.564359633407998
id_87,6.2851179771859655
id_88,6.06210730325698
id_89,5.9963087303619425
id_90,6.223494276925386
id_91,3.972542387085282
id_92,6.87411189066217
id_93,4.707520441428555
id_94,7.332198161440418
id_95,7.413769754745802
id_96,7.0452452742392335
id_97,5.0042565642962895
id_98,4.53646937605231
id_99,5.469736791528621
id_100,5.026067843482436
id_101,7.043328980222766
id_102,6.5854421098900655
id_103,5.2638069642284915
id_104,3.026505644247588
id_105,5.570324857361925
id_106,6.81317411305413
id_107,5.915061266737703
id_108,6.536577271394917
id_109,4.852269050185765
id_110,3.4711359931669743
id_111,4.064945397364083
id_112,5.882969122607661
id_113,6.66645154734576
id_114,4.3188768968144
id_115,5.621574399525478
id_116,5.299400388938476
id_117,6.427418785586728
id_118,10.486519486658167
id_119,4.391179650949905
id_120,4.349125299442575
id_121,5.623847851450401
id_122,4.576741622936547
id_123,4.866225780959162
id_124,6.5117685049040706
id_125,4.153347804855201
id_126,7.012268480493268
id_127,3.5318673861341567
id_128,3.524594814160463
id_129,5.062494424413073
id_130,4.388322011838094
id_131,5.048118037008557
id_132,7.260181345400487
id_133,5.943332605094133
id_134,5.873131811376274
id_135,4.055171547567421
id_136,4.647323124537751
id_137,5.244943507364266
id_138,6.090622408008806
id_139,6.26048222991631
id_140,6.698225213177975
id_141,2.3670079385759664
id_142,3.4173505556296044
id_143,4.814437437318879
id_144,4.862423825747905
id_145,3.216570999385611
id_146,6.610514148830899
id_147,4.857510280769475
id_148,8.474299346175151
id_149,9.00671658715939
id_150,6.861574216943314
id_151,10.070388089753624
id_152,6.6770136054647615
id_153,3.3891101435536584
id_154,7.67523464721543
id_155,7.961669634039461
id_156,5.384097055238836
id_157,4.281009661557285
id_158,4.696853355752898
id_159,6.443338123698991
id_160,9.707971213868602
id_161,3.524529881840394
id_162,6.055075866894544
id_163,3.334596407182672
id_164,3.854177676193717
id_165,7.0717816522573465
id_166,6.4644003851676874
id_167,5.490805767108788
id_168,11.806369613748387
id_169,9.143514190617935
id_170,4.602580845506367
id_171,7.06455552690924
id_172,6.284730191922077
id_173,3.3308831559555125
id_174,10.180031250868975
id_175,5.564021755905606
id_176,4.098181521512556
id_177,9.017843185611463
id_178,7.808765237065762
id_179,8.276138084969428
id_180,4.2261761107463105
id_181,4.941436536507444
id_182,9.409473254718716
id_183,6.447693777720063
id_184,2.0489731441448824
id_185,4.307952303456983
id_186,7.033903803859856
id_187,4.9099512737145705
id_188,5.592476895658768
id_189,4.3176176887898325
id_190,3.104842189004285
id_191,2.1719962164115554
id_192,4.076008632871247
id_193,9.219002155548571
id_194,7.946012595626337
id_195,5.711412597825203
id_196,10.80278021700628
id_197,2.30267013119674
id_198,6.385844266128398
id_199,9.644121026765845
id_200,9.102627588675965
id_201,6.047825311998656
id_202,6.670988658502801
id_203,2.5970072054555287
id_204,10.46149287908462
id_205,5.9403809524886295
id_206,2.473653074160239
id_207,5.114798403225466
id_208,9.093413201654293
id_209,4.066524965845006
id_210,4.270531562190949
id_211,10.35862830501627
id_212,3.6713430858978624
id_213,7.509715691253021
id_214,5.799922812782789
id_215,12.21892190049929
id_216,8.10265731381689
id_217,8.465713951385105
id_218,6.68060967122884
id_219,5.129883456373454
id_220,4.548682642742184
id_221,11.488747581931783
id_222,4.074980975108953
id_223,7.3641210058797535
id_224,4.193853266061195
id_225,3.090977298574206
id_226,3.986878948207967
id_227,5.865121196630204
id_228,5.839371593343795
id_229,2.287022140049265
id_230,5.002477003237803
id_231,5.17838040485486
id_232,5.056475049269536
id_233,3.8142804437221742
id_234,4.9300638310098135
id_235,7.50462953902064
id_236,3.34445649724235
id_237,2.7102550255773954
id_238,4.071329130463496
id_239,3.6438298907223086
